p.accession,p.type,target.LPGF,decoy.LPGF
NP_005643.2,master,inf,0.30004285115312224
NP_001243731.1,master,inf,0.209859372101096
NP_001242983.1,master,inf,0.199061317831213
NP_001103132.3,master,inf,0.640646172990891
NP_001229454.1,master,inf,0.08178104085779876
NP_001106795.2,master,inf,0.06971988113920446
NP_002553.3,master,inf,0.3591961354595657
NP_001171988.1,master,11.928219958617285,0.21204116027880685
NP_001518.3,master,inf,0.2675501636264221
NP_001161829.1,master,inf,0.4710697333166732
NP_001159968.1,master,inf,0.1272844805471227
NP_057510.4,master,inf,0.18708619011054023
NP_060552.4,master,8.359753096315927,0.15656594037723745
NP_001139580.1,master,8.114730214092317,0.36455542098813387
NP_001139325.1,master,inf,0.10923693651307798
NP_848927.2,master,inf,0.29182284406960085
NP_001135974.1,master,inf,0.29254669186595855
NP_001129206.1,master,7.3682949927172565,0.8149420634556633
NP_060096.3,master,inf,0.17215651160846332
NP_001120794.1,master,inf,0.4614665605310685
NP_060547.2,master,inf,0.28339187500896207
NP_065828.2,master,7.56946890865828,0.14044184603990925
NP_000192.2,master,inf,0.9266524120681239
NP_006507.2,master,inf,0.4101560358867528
NP_001106849.1,master,8.313133210297986,-0.0630488413678866
NP_001104547.1,master,inf,0.400112062148801
NP_005246.2,master,inf,0.5719458063385414
NP_001094064.1,master,inf,0.8699436696157885
NP_079375.3,master,7.611236958743711,1.234869165797189
NP_001291744.1,master,inf,0.09672763774842484
NP_001291452.1,master,inf,1.2552652022874031
NP_001120963.2,master,14.176438519807359,0.2905693952500722
NP_004043.3,master,9.613753182937643,0.17500792989991037
NP_001836.3,master,inf,0.017169823520662153
NP_001278557.1,master,9.418746482040998,0.016578494163545274
NP_036359.3,master,inf,1.131326932736124
NP_001278092.1,master,inf,0.27305649694921896
NP_001074295.2,master,inf,0.16824474426852842
NP_001276977.1,master,8.30480943314811,0.07416482172574076
NP_006211.2,master,1.9631843866607683,0.7024976099963924
NP_001275905.1,master,13.214227080696759,0.9897864779874741
NP_001274355.1,master,inf,0.05668627400628053
NP_001273490.1,master,inf,0.29727763621482534
NP_001273015.1,master,inf,0.30384104239432164
NP_001268644.1,master,inf,1.0676974573918157
NP_001258833.1,master,inf,0.010836447417035835
NP_001254524.1,master,inf,0.5096977727513072
NP_001245149.1,master,inf,0.007426372338017675
NP_001243442.1,master,inf,0.21936594185068148
NP_004336.3,master,inf,2.464660136314168
NP_001231178.1,master,inf,0.3534792965647595
NP_001191330.1,master,inf,0.23295104507120493
NP_001186227.1,master,8.517774168091345,0.7011770886239936
NP_001167638.1,master,inf,0.22558406842750292
NP_004698.3,master,7.156101369905836,0.34384698771258854
NP_001166367.1,master,7.683465213439354,0.02721727339765597
NP_066189.3,master,5.555030650853826,0.11411173090775222
NP_060813.2,master,5.917232891649768,0.8230731445598338
NP_001129166.1,master,13.109491730176746,0.06924349589946079
NP_001008563.2,master,inf,0.002173045653292585
NP_001116427.1,master,12.342335864094567,0.46115915318340345
NP_006463.3,master,inf,0.5627068935152032
NP_000844.2,master,inf,1.029672768642597
NP_001786.2,master,inf,0.3558095167313322
NP_000684.2,master,inf,0.08291383819519912
NP_002347.5,master,inf,0.4628306124471713
NP_001002836.2,master,inf,0.6582314523785918
NP_060087.3,master,inf,0.051589308795291756
NP_004827.4,master,6.333815699866761,0.4782012646808724
NP_001073946.1,master,inf,0.4739720481865883
NP_001073331.1,master,6.785099681837117,0.4220887368805201
NP_001073272.1,master,inf,1.3072239747838965
NP_060103.2,master,6.920040552468715,0.20269472138690436
NP_002652.2,master,inf,0.044707705643534094
NP_065120.2,master,inf,0.06879972690061775
NP_002058.2,master,inf,1.4773261155445505
NP_000055.2,master,inf,0.12817728152079977
NP_775487.2,master,inf,0.13312831390183713
NP_065797.2,master,inf,0.5836367947867542
NP_036367.2,master,7.44531066147026,0.0642466393318231
NP_005860.2,master,7.440627500969468,0.15770078754294173
NP_115820.2,master,4.690403432583129,0.0005755248353517873
NP_055527.1,master,inf,0.026590230548342482
NP_068756.2,master,inf,0.17296715003088683
NP_036565.2,master,inf,0.015852554711505006
NP_061848.2,master,inf,0.44143696213606554
NP_776049.1,master,inf,0.05789947329021041
NP_997715.1,master,inf,0.06891582959007551
NP_056274.3,master,inf,0.06782245831013926
NP_056150.1,master,inf,0.27805772811903234
NP_060738.2,master,inf,0.7852098583446119
NP_065987.1,master,inf,0.2635767734130849
NP_008986.2,master,inf,0.6431530299614606
NP_055087.2,master,5.692503793189952,0.00881609471348228
NP_056006.1,master,inf,0.2648005646016803
NP_940879.1,master,4.568060677812086,0.02054973473932114
NP_006355.2,master,inf,0.003646881031424009
NP_938023.1,master,inf,0.7560575876485923
NP_919237.1,master,inf,0.01036275884914257
NP_569733.2,master,inf,0.5915891042366545
NP_002638.2,master,9.796498797005444,0.3614920139220823
NP_877496.1,master,inf,0.7773599414814468
NP_004422.2,master,7.41190463429552,0.5498884652830891
NP_003655.3,master,9.5011368808674,2.3655493997936463
NP_060672.2,master,inf,0.1785587931490818
NP_006297.2,master,13.259984571257435,0.2038773957224819
NP_003097.1,master,9.454964262800786,0.23817679395925603
NP_777378.1,master,10.481505895631612,1.3926647431692085
NP_777377.1,master,6.3342420789554525,0.029246480578134757
NP_056330.3,master,inf,0.960119921433881
NP_071451.2,master,inf,0.00478285689207123
NP_060060.3,master,inf,0.04182257485030669
NP_001970.2,master,inf,0.12384903797386791
NP_066012.1,master,inf,0.4784619695792384
NP_689862.1,master,inf,0.11514545575108157
NP_689729.1,master,13.933400471121065,0.13147609137425023
NP_062826.2,master,inf,0.20958684837035116
NP_003696.2,master,inf,0.060297645687369866
NP_003521.2,master,inf,0.30694952678668946
NP_002680.2,master,inf,0.2264723930275119
NP_004569.2,master,inf,0.09600154277058316
NP_536355.1,master,inf,1.6029295717774117
NP_005338.1,master,inf,0.11362317872406108
NP_006504.2,master,inf,0.10115953969917936
NP_055603.2,master,inf,0.41709567598427916
NP_112420.1,master,inf,1.1672010022159742
NP_079097.1,master,13.436075830313117,0.2174926898678239
NP_079094.1,master,10.874179763035366,0.14111934443535804
NP_076986.1,master,inf,0.2913977320704743
NP_004521.1,master,7.226847088717648,0.32938690684402533
NP_066956.1,master,inf,0.14827879501676114
NP_061131.1,master,9.501672267017087,0.12780632697034344
NP_055255.1,master,inf,0.006670067604515137
NP_005711.1,master,inf,0.3454680782482669
NP_005315.1,master,inf,0.30694952678668946
NP_004587.1,master,inf,0.36613668591140514
NP_004299.1,master,inf,0.2131484237148798
NP_004292.1,master,inf,0.36537871683087847
NP_003017.1,master,2.5693030854906245,0.016846431958189335
NP_002681.1,master,inf,0.10121948189645791
NP_002350.1,master,inf,0.9827470409344642
NP_001553.1,master,10.174315673582198,0.6750262896893702
NP_002078.1,master,inf,0.00684964983798025
NP_000493.1,master,inf,0.12010378194862152
NP_001963.1,master,inf,0.1445093423837453
NP_003748.1,master,inf,0.004388114939573423
NP_001869.1,master,inf,0.4411359836909027
NP_001648.1,master,inf,0.17630888828239943
NP_001619.1,master,inf,0.07833378287538993
NP_001115.1,master,6.734213667819738,0.3134611248181073
NP_001605.1,master,inf,0.31962770966794146
NP_001273742.1,master,9.609968618785595,0.7638995089757529
NP_001269356.1,master,inf,0.20271035175374133
NP_955373.3,master,3.916476705776383,0.048737452935713306
NP_788086.2,master,9.43723813497381,0.18103772487143807
NP_443070.5,master,inf,1.2255296853705921
NP_001258670.1,master,9.400982814499729,1.4017967365686697
NP_001257437.1,master,inf,0.2674026952405076
NP_116126.3,master,inf,0.8254718212471398
NP_001247440.1,master,inf,0.6404127335701454
NP_001245240.1,master,4.752852450493718,1.4580673132117874
NP_006508.2,master,7.217403618089662,0.8353923199864386
NP_001822.3,master,inf,0.4320314498098703
NP_001230894.1,master,inf,0.01800153422222992
NP_001230170.1,master,6.360906032771827,0.911190597421838
NP_001193496.1,master,inf,0.46889812544864895
NP_001193469.1,master,6.032968136229071,0.306246653801011
NP_001191397.1,master,7.823724364742278,0.08648293477326152
NP_001182356.1,master,inf,1.7083712434076082
NP_064710.4,master,inf,0.7081041952430518
NP_006787.2,master,inf,0.5536699743106742
NP_001171748.1,master,inf,0.0876009565815848
NP_001171671.1,master,inf,0.2138541369564602
NP_001171550.1,master,7.8893360293276436,0.7121229857777189
NP_002430.3,master,inf,1.1564039678438083
NP_001164100.1,master,inf,0.9315463607017388
NP_003217.3,master,inf,0.09769307742958545
NP_878908.4,master,inf,1.0211466854064457
NP_001155201.1,master,inf,0.42228491614646246
NP_005773.3,master,inf,0.2498392358159752
NP_073741.2,master,inf,0.2236217493496206
NP_001139527.1,master,8.096034286922874,0.04836177796160587
NP_001138881.1,master,inf,0.3290337769756887
NP_001138830.1,master,inf,0.2591244020545522
NP_006280.3,master,inf,1.0107580623969794
NP_006187.2,master,inf,0.6989027613993664
NP_004815.3,master,inf,1.5782523630055152
NP_001137464.1,master,inf,0.38489923557427097
NP_001136358.1,master,6.180582712278396,1.1543111518256888
NP_002345.2,master,inf,0.37865676941310566
NP_001136018.1,master,inf,0.06715378467567286
NP_001131139.1,master,3.7131168466692692,0.08271502665391957
NP_001129491.1,master,inf,0.14666172528674692
NP_443175.2,master,6.630759999140615,2.304787896484315
NP_001129123.1,master,8.934573822614425,0.5481980606630608
NP_001128567.1,master,inf,0.024574052856329
NP_114429.2,master,inf,0.1935065264740674
NP_001127704.1,master,inf,0.23462902184583004
NP_079204.2,master,inf,0.38132143002672736
NP_057258.3,master,7.546080427374168,0.006623118442395071
NP_001122389.1,master,inf,0.5952673098227
NP_001121179.1,master,inf,0.2995679484884968
NP_001013721.2,master,11.206440521209018,1.5770864162182425
NP_005621.2,master,inf,0.025662071520829704
NP_001120699.1,master,inf,0.13457535669250342
NP_001120679.1,master,inf,0.08464144608327206
NP_001119594.1,master,inf,0.287759433359965
NP_001116847.1,master,inf,0.6447203626305611
NP_055625.4,master,inf,-0.08100867539592821
NP_001116293.1,master,13.252159233745479,0.0631423874046773
NP_003002.2,master,inf,0.0690163791173878
NP_001207.2,master,10.01514240674659,0.4841855610002163
NP_001432.2,master,inf,0.059528725220642426
NP_005994.2,master,inf,0.18538142216454123
NP_002996.2,master,inf,0.13023756646590592
NP_055634.3,master,inf,0.2776058803266629
NP_001609.2,master,inf,1.01565535031712
NP_085128.2,master,2.508724472970292,0.038185308316965545
NP_036213.2,master,inf,0.27300645428957826
NP_002115.2,master,inf,0.3702944890019193
NP_003676.2,master,inf,0.19758203302247715
NP_066564.2,master,inf,0.9766812924950451
NP_000033.2,master,inf,0.07852805417136206
NP_006258.3,master,inf,0.3378175468449005
NP_003632.3,master,inf,0.00816886637581417
NP_055990.1,master,inf,0.16031881937379616
NP_077024.2,master,inf,0.19209642632947094
NP_002327.2,master,6.721705790822371,0.2855944140369563
NP_066362.2,master,inf,0.02753259820006817
NP_001091679.1,master,inf,1.4124037131864227
NP_001078956.1,master,inf,0.10053604978069605
NP_658988.2,master,inf,0.6968902719650216
NP_077283.2,master,inf,0.39799295265570434
NP_000426.2,master,inf,1.460197944907228
NP_002731.4,master,inf,0.028098132749669553
NP_079358.3,master,inf,0.23167968662072835
NP_055387.2,master,inf,0.11084085727643603
NP_003913.3,master,inf,0.4057769041974311
NP_001073996.1,master,0.36603610169162054,0.5123087128522251
NP_056131.2,master,inf,0.08348672904939772
NP_000415.2,master,inf,0.11333996716774754
NP_006112.3,master,inf,1.5122817164089553
NP_000050.2,master,inf,-0.3945723529591335
NP_001444.2,master,8.776937858492749,0.2668572231365722
NP_000187.3,master,inf,1.168143996962882
NP_057323.3,master,-0.4036421311289868,0.23631846000284704
NP_001070960.1,master,inf,0.5556240110203197
NP_001070911.1,master,inf,0.5061915862678982
NP_001070910.1,master,inf,0.5339654671868616
NP_008964.3,master,inf,0.7222230722049847
NP_612430.2,master,inf,0.09771730105656833
NP_006624.2,master,inf,0.12463062149092477
NP_115690.3,master,inf,3.394902369348268
NP_006458.2,master,8.12213233720523,0.21586338020217005
NP_938020.2,master,inf,0.25554129870141423
NP_612450.2,master,inf,0.22243005518887585
NP_002991.2,master,inf,0.4239160994116794
NP_006090.2,master,8.538951825696996,1.0039848361569537
NP_055211.2,master,8.370326635868718,0.1569899938482148
NP_005522.2,master,inf,0.45068126867464775
NP_005552.3,master,inf,0.2793024553876386
NP_005609.3,master,3.179350255467712,0.0043796396406661
NP_055935.4,master,inf,0.09658151221639154
NP_000079.2,master,inf,3.2235062315048593
NP_057209.3,master,9.343383569732406,0.5162778311746041
NP_005819.3,master,inf,0.07612397635228457
NP_000312.2,master,inf,0.19823478471860254
NP_006149.2,master,inf,1.2481537679247727
NP_002408.3,master,inf,-1.277450692055622
NP_056151.2,master,inf,0.14758388311696144
NP_002461.2,master,inf,-0.013661798697035269
NP_002271.3,master,3.7385095907213164,0.38567668473695166
NP_543011.2,master,inf,0.11440759961938908
NP_000370.2,master,inf,0.5558141916680753
NP_001035109.1,master,inf,1.5454934461940721
NP_001034579.1,master,inf,0.09497460244671975
NP_001034438.1,master,inf,0.0016615127073913859
NP_006600.3,master,inf,0.012634973529493004
NP_055053.1,master,inf,0.1321284244630915
NP_004985.2,master,inf,0.4338527352063471
NP_001028204.1,master,8.115012845659914,0.07583679322288699
NP_001027466.1,master,inf,0.32070387770443215
NP_006176.2,master,11.014023483700914,-0.5370394555699939
NP_004547.2,master,inf,0.42925693925542313
NP_009146.2,master,inf,0.011120583653375666
NP_001803.2,master,inf,1.1252653865584124
NP_005073.2,master,inf,0.8006482375221305
NP_001255.3,master,inf,0.18674091812492097
NP_005507.3,master,inf,0.15998831986044554
NP_000177.2,master,inf,0.10863747431836175
