p.accession,p.type,target.LPGF,decoy.LPGF,qcPass,qcType
NP_002680.2,master,inf,0.2264723930275119,true,tb
NP_004569.2,master,inf,0.09600154277058316,true,tb
NP_536355.1,master,inf,1.6029295717774117,true,tb
NP_005338.1,master,inf,0.11362317872406108,true,tb
NP_006504.2,master,inf,0.10115953969917936,true,tb
NP_055603.2,master,inf,0.4170956759842792,true,tb
NP_112420.1,master,inf,1.1672010022159742,true,tb
NP_079097.1,master,13.436075830313115,0.2174926898678239,true,tb
NP_079094.1,master,10.874179763035366,0.14111934443535806,true,tb
NP_076986.1,master,inf,0.2913977320704743,true,tb
NP_004521.1,master,7.226847088717648,0.3293869068440253,true,tb
NP_066956.1,master,inf,0.14827879501676114,true,tb
NP_061131.1,master,9.501672267017089,0.12780632697034344,true,tb
NP_055255.1,master,inf,0.006670067604515137,true,tb
NP_005711.1,master,inf,0.3454680782482669,true,tb
NP_005315.1,master,inf,0.30694952678668946,true,tb
NP_004587.1,master,inf,0.3661366859114051,true,tb
NP_004299.1,master,inf,0.2131484237148798,true,tb
NP_004292.1,master,inf,0.3653787168308785,true,tb
NP_003017.1,master,2.5693030854906245,0.01684643195818934,true,tb
NP_002681.1,master,inf,0.10121948189645792,true,tb
NP_002350.1,master,inf,0.9827470409344642,true,tb
NP_001553.1,master,10.174315673582198,0.6750262896893702,true,tb
NP_002078.1,master,inf,0.00684964983798025,true,tb
NP_000493.1,master,inf,0.12010378194862152,true,tb
NP_001963.1,master,inf,0.1445093423837453,true,tb
NP_003748.1,master,inf,0.004388114939573423,true,tb
NP_001869.1,master,inf,0.4411359836909027,true,tb
NP_001648.1,master,inf,0.17630888828239946,true,tb
NP_001619.1,master,inf,0.07833378287538993,true,tb
NP_001115.1,master,6.734213667819737,0.3134611248181073,true,tb
NP_001605.1,master,inf,0.31962770966794146,true,tb
NP_001273742.1,master,9.609968618785595,0.7638995089757529,true,tb
NP_001269356.1,master,inf,0.20271035175374133,true,tb
NP_955373.3,master,3.9164767057763834,0.048737452935713306,true,tb
NP_788086.2,master,9.43723813497381,0.18103772487143807,true,tb
NP_443070.5,master,inf,1.225529685370592,true,tb
NP_001258670.1,master,9.400982814499727,1.4017967365686697,true,tb
NP_001257437.1,master,inf,0.2674026952405076,true,tb
NP_116126.3,master,inf,0.8254718212471398,true,tb
NP_001247440.1,master,inf,0.6404127335701454,true,tb
NP_001245240.1,master,4.752852450493718,1.4580673132117874,true,tb
NP_006508.2,master,7.217403618089661,0.8353923199864386,true,tb
NP_001822.3,master,inf,0.4320314498098703,true,tb
NP_001230894.1,master,inf,0.018001534222229918,true,tb
NP_001230170.1,master,6.360906032771827,0.911190597421838,true,tb
NP_001193496.1,master,inf,0.468898125448649,true,tb
NP_001193469.1,master,6.032968136229072,0.306246653801011,true,tb
NP_001191397.1,master,7.823724364742278,0.08648293477326152,true,tb
NP_001182356.1,master,inf,1.7083712434076082,true,tb
NP_064710.4,master,inf,0.7081041952430518,true,tb
NP_006787.2,master,inf,0.5536699743106742,true,tb
NP_001171748.1,master,inf,0.0876009565815848,true,tb
NP_001171671.1,master,inf,0.2138541369564602,true,tb
NP_001171550.1,master,7.8893360293276436,0.7121229857777189,true,tb
NP_002430.3,master,inf,1.1564039678438085,true,tb
NP_001164100.1,master,inf,0.9315463607017388,true,tb
NP_003217.3,master,inf,0.09769307742958544,true,tb
NP_878908.4,master,inf,1.0211466854064457,true,tb
NP_001155201.1,master,inf,0.4222849161464625,true,tb
NP_005773.3,master,inf,0.2498392358159752,true,tb
NP_073741.2,master,inf,0.2236217493496206,true,tb
NP_001139527.1,master,8.096034286922874,0.048361777961605866,true,tb
NP_001138881.1,master,inf,0.3290337769756887,true,tb
NP_001138830.1,master,inf,0.2591244020545522,true,tb
NP_006280.3,master,inf,1.0107580623969794,true,tb
NP_006187.2,master,inf,0.6989027613993664,true,tb
NP_004815.3,master,inf,1.5782523630055152,true,tb
NP_001137464.1,master,inf,0.38489923557427097,true,tb
NP_001136358.1,master,6.180582712278396,1.1543111518256888,true,tb
NP_002345.2,master,inf,0.3786567694131057,true,tb
NP_001136018.1,master,inf,0.06715378467567286,true,tb
NP_001131139.1,master,3.713116846669269,0.08271502665391957,true,tb
NP_001129491.1,master,inf,0.14666172528674692,true,tb
NP_443175.2,master,6.630759999140616,2.304787896484315,true,tb
NP_001129123.1,master,8.934573822614425,0.5481980606630608,true,tb
NP_001128567.1,master,inf,0.024574052856329,true,tb
NP_114429.2,master,inf,0.1935065264740674,true,tb
NP_001127704.1,master,inf,0.23462902184583004,true,tb
NP_079204.2,master,inf,0.38132143002672736,true,tb
NP_057258.3,master,7.546080427374167,0.006623118442395071,true,tb
NP_001122389.1,master,inf,0.5952673098226999,true,tb
NP_001121179.1,master,inf,0.2995679484884968,true,tb
NP_001013721.2,master,11.206440521209018,1.5770864162182423,true,tb
NP_005621.2,master,inf,0.025662071520829704,true,tb
NP_001120699.1,master,inf,0.13457535669250342,true,tb
NP_001120679.1,master,inf,0.08464144608327206,true,tb
NP_001119594.1,master,inf,0.287759433359965,true,tb
NP_001116847.1,master,inf,0.6447203626305611,true,tb
NP_055625.4,master,inf,-0.08100867539592821,true,tb
NP_001116293.1,master,13.252159233745479,0.0631423874046773,true,tb
NP_003002.2,master,inf,0.0690163791173878,true,tb
